County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Pleasants County,West Virginia,54073,511.9,306.1,762.8
Dewey County,South Dakota,46041,514.4,406.9,631.4
Bottineau County,North Dakota,38009,514.5,357.3,700.6
Greenlee County,Arizona,4011,514.7,309.9,733.1
Monroe County,Iowa,19135,515,320.3,763.3
Custer County,Colorado,8027,517.4,315.2,786.1
Bon Homme County,South Dakota,46009,517.4,314.4,740.1
Kingman County,Kansas,20095,517.6,330.1,772.2
Woodruff County,Arkansas,5147,518.6,299.7,780.6
Greenwood County,Kansas,20073,519.1,331.8,775.2
Pipestone County,Minnesota,27117,519.1,313.1,781.1
Grand Isle County,Vermont,50013,519.3,388.7,662.7
Antelope County,Nebraska,31003,522.8,376.6,702.6
Henderson County,Illinois,17071,523.4,310.3,798.5
Benton County,Indiana,18007,524.4,314.3,813.5
Johnson County,Wyoming,56019,525.1,362.2,702.7
Adair County,Iowa,19001,525.7,332,800.5
Nemaha County,Kansas,20131,526.5,350.5,738.7
Worth County,Iowa,19195,527.2,341.4,834.7
Dade County,Missouri,29057,527.2,299.5,797.1
Jefferson County,Nebraska,31095,529.1,383.3,701.9
Fremont County,Iowa,19071,531.1,327.5,773.3
Prince of Wales-Hyder Censu,Alaska,2198,532.7,335.2,778.3
Hamilton County,Illinois,17065,533.1,311.5,807.3
San Miguel County,Colorado,8113,533.4,315.4,813.3
Sitka City and Borough,Alaska,2220,534.9,347.4,756.2
Conejos County,Colorado,8021,534.9,315.6,832.5
Major County,Oklahoma,40093,535.3,331.2,786.2
Talbot County,Georgia,13263,537.4,324.6,848
Bracken County,Kentucky,21023,540.7,332.3,814.6
Elliott County,Kentucky,21063,542.3,323.2,846.4
Pepin County,Wisconsin,55091,543.1,319.2,839.7
Norman County,Minnesota,27107,546.5,346.9,803.5
Jack County,Texas,48237,546.8,303.2,876.9
Tillman County,Oklahoma,40141,547.4,335.8,813
Burt County,Nebraska,31021,548.1,396,709.8
Clay County,Tennessee,47027,550.4,310.5,819
Aleutians West Census Area,Alaska,2016,552.2,376.3,763.4
Wheeler County,Georgia,13309,552.8,354.2,858.3
Goliad County,Texas,48175,553.4,319.9,830.6
Wilkinson County,Mississippi,28157,553.7,353.2,798.5
Pierce County,Nebraska,31139,554,407,717
Murray County,Minnesota,27101,555.4,323.3,854.4
Thomas County,Kansas,20193,555.8,374.1,777.5
Fall River County,South Dakota,46047,556.6,357.1,810.1
Surry County,Virginia,51181,557,347.1,817.7
Mcculloch County,Texas,48307,558,320.4,895.2
Ontonagon County,Michigan,26131,558.3,329.4,843.7
Dimmit County,Texas,48127,558.6,321.9,827.9
