State,County,median_household_income,total_population,Diabetes Estimate
Wisconsin,Taylor County,52860.0,20320.0,1259.7
Texas,Armstrong County,69386.0,1950.0,126
West Virginia,Lewis County,43894.0,16024.0,1261.4
Missouri,Livingston County,50818.0,14969.0,1261.6
New Mexico,Sierra County,33873.0,10988.0,1261.8
Wisconsin,Winnebago County,59947.0,170924.0,12619.8
Georgia,Dooly County,48039.0,13571.0,1263.6
Maryland,Carroll County,99569.0,168233.0,12640.1
Minnesota,Waseca County,60450.0,18658.0,1266.3
Georgia,Pulaski County,42213.0,11185.0,1267
Indiana,Perry County,51496.0,19091.0,1267.8
Kentucky,Simpson County,50159.0,18319.0,1268.6
Mississippi,Jackson County,53726.0,142872.0,12684.3
New Mexico,Socorro County,40297.0,16723.0,1269.2
Texas,Leon County,43392.0,17325.0,1269.5
Kansas,Hodgeman County,60703.0,1872.0,127.9
Alabama,Fayette County,41469.0,16406.0,1270.9
Pennsylvania,Lebanon County,61632.0,140410.0,12704.1
Texas,Gray County,54679.0,22063.0,1271.1
Montana,Glacier County,37645.0,13706.0,1271.9
Pennsylvania,Beaver County,59014.0,164781.0,12711.5
Illinois,Hancock County,55818.0,17820.0,1273.1
Louisiana,Terrebonne Parish,52224.0,111297.0,12731.7
Florida,Palm Beach County,65015.0,1482057.0,127452.2
Iowa,Poweshiek County,53925.0,18391.0,1275.5
Louisiana,Rapides Parish,48013.0,130376.0,12760.8
Kentucky,Mason County,46241.0,17122.0,1277.3
Kansas,Comanche County,48125.0,1759.0,128.8
Minnesota,Kanabec County,57877.0,16205.0,1281.5
Michigan,Calhoun County,50219.0,133943.0,12821.9
Alabama,Etowah County,44934.0,102721.0,12823.5
Louisiana,Claiborne Parish,26849.0,15854.0,1284.7
North Carolina,Randolph County,48984.0,143460.0,12851.5
West Virginia,Monroe County,44828.0,13344.0,1286.2
Colorado,Las Animas County,44159.0,14323.0,1286.3
Texas,Oldham County,64250.0,2110.0,129.1
Illinois,Crawford County,50968.0,18833.0,1290.5
Mississippi,Amite County,30805.0,12341.0,1290.7
Texas,Dewitt County,53815.0,20217.0,1291.8
Idaho,Madison County,44419.0,39725.0,1291.9
Michigan,Monroe County,65453.0,150000.0,12931.5
Alabama,Lamar County,42688.0,13854.0,1294.2
Colorado,Park County,76611.0,18345.0,1295.3
South Carolina,Bamberg County,42830.0,14236.0,1295.4
South Carolina,Mccormick County,47402.0,9495.0,1295.8
Indiana,Fountain County,52334.0,16456.0,1295.8
Washington,Adams County,51601.0,19702.0,1297
Alabama,Crenshaw County,42611.0,13826.0,1297.1
Florida,Hamilton County,38300.0,14397.0,1298.2
Rhode Island,Kent County,75857.0,164122.0,12983
Ohio,Harrison County,49454.0,15132.0,1299.2
California,Santa Clara County,130890.0,1924379.0,129949.3
Michigan,Livingston County,84274.0,190832.0,12999.6
South Dakota,Buffalo County,35000.0,2005.0,130.3
Minnesota,Houston County,59514.0,18670.0,1302.9
Kansas,Dickinson County,53864.0,18614.0,1303.3
Tennessee,Wilson County,78962.0,140604.0,13031.5
Oregon,Baker County,46250.0,16090.0,1304.4
Utah,San Juan County,49690.0,15295.0,1304.5
Colorado,Chaffee County,55176.0,19977.0,1308
Idaho,Kootenai County,60903.0,161676.0,13083.6
North Carolina,Avery County,42695.0,17510.0,1310.8
North Carolina,Catawba County,54690.0,158507.0,13103.2
Florida,Calhoun County,38037.0,14324.0,1311.7
Texas,Bosque County,57337.0,18428.0,1312.5
Texas,Burleson County,60058.0,18237.0,1313.4
Georgia,Elbert County,39323.0,19164.0,1314.6
Oklahoma,Texas County,50702.0,20633.0,1318.8
Georgia,Banks County,50912.0,18900.0,1319
Minnesota,Sibley County,64170.0,14871.0,1319.2
Utah,Rich County,63917.0,2415.0,132.2
California,Inyo County,59296.0,17930.0,1320.6
Idaho,Shoshone County,40483.0,12700.0,1320.8
Kentucky,Marion County,43587.0,19257.0,1321
Virginia,Colonial Heights City,60522.0,17283.0,1321.3
Mississippi,Tallahatchie County,30433.0,14041.0,1321.6
Florida,Martin County,65821.0,160420.0,13210.8
Mississippi,Greene County,47033.0,13619.0,1322.9
Colorado,Summit County,80709.0,30735.0,1324
Indiana,Elkhart County,58509.0,205184.0,13243.1
Tennessee,Sequatchie County,44217.0,14936.0,1325.3
Kentucky,Rockcastle County,38744.0,16795.0,1327.3
Tennessee,Humphreys County,48411.0,18528.0,1330.4
Georgia,Douglas County,67651.0,145063.0,13300.7
Oklahoma,Choctaw County,37121.0,14727.0,1331.2
Missouri,Pike County,44920.0,18158.0,1331.3
Colorado,Otero County,43075.0,18284.0,1331.6
Illinois,Peoria County,55729.0,181111.0,13315.7
Colorado,Boulder County,87476.0,324682.0,13317.3
Iowa,Delaware County,63877.0,17107.0,1334.3
Kentucky,Harrison County,50270.0,18763.0,1334.5
North Carolina,Wayne County,47221.0,123785.0,13347
Indiana,Rush County,56814.0,16632.0,1335.1
Tennessee,Unicoi County,44526.0,17821.0,1335.3
Mississippi,Calhoun County,40345.0,14417.0,1335.4
Indiana,Hendricks County,84754.0,166806.0,13354.3
North Carolina,Yancey County,44554.0,17870.0,1336.6
Louisiana,Franklin Parish,35759.0,20109.0,1337.1
Indiana,Tipton County,68707.0,15154.0,1337.2
Virginia,Bristol City,39679.0,17059.0,1337.3
Texas,Young County,52158.0,17961.0,1338.4
Missouri,Dent County,42714.0,15518.0,1338.9
Wisconsin,Rusk County,48961.0,14074.0,1340.1
Texas,Montague County,57511.0,19640.0,1340.5
California,Mariposa County,50960.0,17319.0,1344.8
Mississippi,Rankin County,68310.0,154119.0,13453.8
Tennessee,Smith County,48611.0,19926.0,1346.3
West Virginia,Hardy County,46513.0,13789.0,1346.4
South Dakota,Davison County,48267.0,19890.0,1347.1
New Mexico,Lincoln County,44939.0,19640.0,1347.5
Arkansas,Clay County,37933.0,14710.0,1348.4
Missouri,Bates County,46733.0,16282.0,1348.9
South Dakota,Faulk County,49423.0,2315.0,135.5
Kansas,Osage County,58927.0,15855.0,1352.2
Texas,Freestone County,52232.0,19744.0,1353.8
Kentucky,Bourbon County,47024.0,19998.0,1355.5
Massachusetts,Dukes County,77318.0,17430.0,1358.9
Tennessee,Johnson County,38090.0,17755.0,1359.6
Tennessee,Washington County,48923.0,128874.0,13595.3
Nebraska,Rock County,51458.0,1430.0,136
Montana,Judith Basin County,50329.0,1968.0,136
Nevada,Eureka County,67478.0,1839.0,136.5
Texas,Culberson County,34853.0,2183.0,136.9
Missouri,Nodaway County,46303.0,22199.0,1360.5
North Carolina,Pitt County,49337.0,179961.0,13609.1
Georgia,Jefferson County,37009.0,15489.0,1362.4
Alabama,Choctaw County,36634.0,12755.0,1362.9
Michigan,Gogebic County,38625.0,14715.0,1363.2
Wisconsin,Richland County,52052.0,17408.0,1363.4
Indiana,Johnson County,72928.0,156148.0,13637.8
Ohio,Noble County,50070.0,14410.0,1364.6
Florida,Union County,55139.0,15282.0,1366.2
South Carolina,Dorchester County,63501.0,161309.0,13671.4
Virginia,Alleghany County,48513.0,15030.0,1368.4
Illinois,Fayette County,45634.0,21418.0,1368.9
Texas,Webb County,50296.0,274847.0,13680.3
Arkansas,Sevier County,47872.0,16947.0,1369.6
Georgia,Mcintosh County,56262.0,14217.0,1371
Idaho,Jefferson County,65577.0,29238.0,1372.2
Indiana,Brown County,66833.0,15093.0,1373.5
Florida,Jefferson County,49081.0,14278.0,1373.9
Michigan,Jackson County,54511.0,158174.0,13731.5
Washington,Benton County,72046.0,200715.0,13749.2
Indiana,Porter County,72255.0,169482.0,13749.5
Virginia,Nottoway County,49983.0,15338.0,1375.2
Georgia,Brooks County,37516.0,15548.0,1376.8
Arkansas,Drew County,42924.0,18263.0,1377.1
Texas,Brazos County,50289.0,226370.0,13784.2
Kansas,Hamilton County,44894.0,2552.0,138
Oregon,Sherman County,51472.0,1686.0,138.2
North Dakota,Sheridan County,54250.0,1289.0,138.3
Virginia,Greene County,67266.0,19734.0,1381.8
Pennsylvania,Monroe County,68734.0,168824.0,13840.1
Pennsylvania,Philadelphia County,49127.0,1581531.0,138598.2
Texas,Ellis County,79834.0,179484.0,13869.5
Tennessee,Morgan County,41701.0,21538.0,1387.5
Tennessee,Benton County,39019.0,16133.0,1388.4
Alabama,Calhoun County,50128.0,114324.0,13883.1
Arkansas,Jackson County,37885.0,16908.0,1389.5
Colorado,Pueblo County,49979.0,167412.0,13895.5
Montana,Daniels County,56026.0,1705.0,139
Kentucky,Kenton County,66541.0,166552.0,13914.7
Indiana,Parke County,55853.0,16912.0,1392
Virginia,Waynesboro City,43480.0,22300.0,1392.4
Oklahoma,Beckham County,47095.0,21860.0,1392.7
Florida,Gulf County,50640.0,15073.0,1394.1
Georgia,Ben Hill County,32077.0,16889.0,1397.8
California,El Dorado County,83710.0,190345.0,13972.7
Texas,Lavaca County,54211.0,20072.0,1398.4
Iowa,Mahaska County,56417.0,22351.0,1398.7
Colorado,Douglas County,121393.0,344280.0,14000.6
Kansas,Bourbon County,46369.0,14539.0,1402.9
Wisconsin,Racine County,62556.0,195859.0,14031
Virginia,Grayson County,41558.0,15651.0,1406.2
Iowa,Jackson County,59042.0,19348.0,1407.4
South Carolina,Lee County,32851.0,17144.0,1409.7
South Carolina,Beaufort County,71430.0,189732.0,14098.2
Montana,Meagher County,46815.0,1795.0,141.1
Nebraska,Garden County,42076.0,1916.0,141.2
Montana,Fallon County,69792.0,2975.0,141.9
Michigan,Kalkaska County,49402.0,17725.0,1411.2
Kentucky,Spencer County,85488.0,18945.0,1413.7
North Carolina,Alamance County,51580.0,166144.0,14141.3
Maine,Penobscot County,52128.0,151696.0,14165.4
Michigan,St. Clair County,58722.0,159285.0,14165.5
Mississippi,Stone County,47683.0,18282.0,1417
Georgia,Paulding County,74154.0,164440.0,14181.9
Maryland,Washington County,63510.0,150575.0,14189.9
Mississippi,Covington County,32917.0,18810.0,1419.2
North Dakota,Golden Valley County,72308.0,1796.0,142.3
Georgia,Taliaferro County,37717.0,1596.0,142.7
North Carolina,Robeson County,35362.0,131656.0,14210.7
Iowa,Fayette County,49834.0,19604.0,1422.4
Pennsylvania,Potter County,47696.0,16685.0,1424.3
Utah,Sevier County,55361.0,21475.0,1424.4
Washington,Whatcom County,65420.0,224538.0,14255.7
Arkansas,Grant County,59051.0,18229.0,1426.3
Missouri,Vernon County,43910.0,20560.0,1426.4
West Virginia,Wetzel County,44539.0,15291.0,1427.7
Ohio,Medina County,77784.0,179116.0,14288.6
Minnesota,St. Louis County,57480.0,199499.0,14303.2
Tennessee,Williamson County,111196.0,232380.0,14310.6
Iowa,Hardin County,54930.0,16924.0,1432.4
California,Yolo County,73746.0,218774.0,14328.4
Iowa,Kossuth County,56156.0,14864.0,1433.5
Oklahoma,Marshall County,48573.0,16688.0,1434.9
Iowa,Dickinson County,60975.0,17260.0,1436.1
