State,County,median_household_income,total_population
Georgia,Columbia County,82251.0,154257.0
Georgia,Cook County,40943.0,17217.0
Georgia,Crawford County,47917.0,12267.0
Georgia,Crisp County,38272.0,22509.0
Georgia,Dawson County,72260.0,25277.0
Georgia,DeKalb County,65116.0,755287.0
Georgia,Dodge County,42211.0,20725.0
Georgia,Dougherty County,40947.0,88696.0
Georgia,Douglas County,67651.0,145063.0
Georgia,Echols County,44454.0,3944.0
Georgia,Elbert County,39323.0,19164.0
Georgia,Emanuel County,38423.0,22525.0
Georgia,Fannin County,46028.0,25797.0
Georgia,Fayette County,93777.0,113544.0
Georgia,Forsyth County,112834.0,236605.0
Georgia,Fulton County,72741.0,1051550.0
Georgia,Gilmer County,57376.0,30986.0
Georgia,Glynn County,56952.0,85008.0
Georgia,Gordon County,48662.0,57756.0
Georgia,Greene County,57880.0,17808.0
Georgia,Gwinnett County,72787.0,926414.0
Georgia,Hall County,63651.0,201434.0
Georgia,Haralson County,52021.0,29608.0
Georgia,Harris County,79860.0,34676.0
Georgia,Hart County,45874.0,25981.0
Georgia,Heard County,50583.0,11785.0
Georgia,Henry County,71110.0,229994.0
Georgia,Houston County,65870.0,155317.0
Georgia,Irwin County,41484.0,9379.0
Georgia,Jackson County,68307.0,70467.0
Georgia,Jasper County,52409.0,14074.0
Georgia,Jeff Davis County,36987.0,15063.0
Georgia,Jefferson County,37009.0,15489.0
Georgia,Jenkins County,25712.0,8787.0
Georgia,Johnson County,42421.0,9717.0
Georgia,Jones County,63046.0,28622.0
Georgia,Lamar County,50088.0,18834.0
Georgia,Lanier County,32158.0,10534.0
Georgia,Laurens County,39476.0,47404.0
Georgia,Lee County,68338.0,29735.0
Georgia,Liberty County,50411.0,62039.0
Georgia,Lincoln County,42036.0,7929.0
Georgia,Long County,52099.0,19236.0
Georgia,Lumpkin County,52872.0,33009.0
Georgia,McIntosh County,56262.0,14217.0
Georgia,Macon County,31910.0,13107.0
Georgia,Marion County,52450.0,8450.0
Georgia,Meriwether County,40769.0,21080.0
Georgia,Mitchell County,39404.0,22072.0
Georgia,Montgomery County,45230.0,9069.0
Georgia,Morgan County,68669.0,18832.0
Georgia,Muscogee County,47418.0,195418.0
Georgia,Newton County,59178.0,109835.0
Georgia,Oglethorpe County,52816.0,15040.0
Georgia,Paulding County,74154.0,164440.0
Georgia,Pickens County,68365.0,32002.0
Georgia,Pike County,68138.0,18565.0
Georgia,Polk County,46846.0,42251.0
Georgia,Putnam County,52910.0,21906.0
Georgia,Quitman County,34394.0,2290.0
Georgia,Randolph County,29400.0,6888.0
Georgia,Rockdale County,62505.0,90155.0
Georgia,Schley County,49105.0,5215.0
Georgia,Seminole County,35286.0,8218.0
Georgia,Spalding County,48970.0,66043.0
Georgia,Stewart County,34028.0,6446.0
Georgia,Sumter County,37174.0,29714.0
Georgia,Taliaferro County,37717.0,1596.0
Georgia,Taylor County,28550.0,8126.0
Georgia,Telfair County,32764.0,15871.0
Georgia,Thomas County,47133.0,44545.0
Georgia,Towns County,51257.0,11815.0
Georgia,Treutlen County,32072.0,6787.0
Georgia,Turner County,34514.0,7920.0
Georgia,Union County,49703.0,23999.0
Georgia,Upson County,39221.0,26329.0
Georgia,Walton County,65491.0,93284.0
Georgia,Ware County,37041.0,35745.0
Georgia,Washington County,36402.0,20316.0
Georgia,Webster County,31629.0,2587.0
Georgia,Wheeler County,28864.0,7897.0
Georgia,Whitfield County,50055.0,104122.0
Georgia,Wilcox County,39216.0,8701.0
Georgia,Wilkinson County,36896.0,8945.0
Georgia,Tift County,44827.0,40590.0
Georgia,Baldwin County,46250.0,45072.0
Georgia,Bartow County,61226.0,106456.0
Georgia,Berrien County,42089.0,19206.0
Georgia,Brantley County,34679.0,18924.0
Georgia,Bulloch County,48786.0,77719.0
Georgia,Calhoun County,41962.0,6301.0
Georgia,Candler County,36955.0,10834.0
Georgia,Charlton County,42743.0,13032.0
Georgia,Chattooga County,37351.0,24826.0
Georgia,Clay County,32434.0,2931.0
Georgia,Clinch County,38844.0,6648.0
Georgia,Colquitt County,36799.0,45510.0
Georgia,Coweta County,79795.0,145839.0
Georgia,Dade County,40384.0,16183.0
Georgia,Decatur County,40567.0,26595.0
Georgia,Dooly County,48039.0,13571.0
Georgia,Early County,34811.0,10218.0
Georgia,Effingham County,67050.0,62241.0
Georgia,Evans County,46392.0,10671.0
Georgia,Floyd County,50657.0,97805.0
Georgia,Franklin County,47821.0,23015.0
Georgia,Glascock County,46500.0,2984.0
Georgia,Grady County,48047.0,24693.0
Georgia,Habersham County,54147.0,45204.0
Georgia,Hancock County,32914.0,8500.0
Georgia,Lowndes County,46113.0,116436.0
Georgia,McDuffie County,47327.0,21404.0
Georgia,Madison County,51142.0,29624.0
Georgia,Miller County,49771.0,5725.0
Georgia,Monroe County,60491.0,27455.0
Georgia,Murray County,51133.0,39789.0
Georgia,Oconee County,95064.0,39194.0
Georgia,Peach County,50267.0,27502.0
Georgia,Pierce County,48969.0,19336.0
Georgia,Pulaski County,42213.0,11185.0
Georgia,Rabun County,44871.0,16859.0
Georgia,Richmond County,43882.0,202178.0
Georgia,Screven County,39852.0,13977.0
Georgia,Stephens County,46766.0,25934.0
Georgia,Talbot County,40020.0,6245.0
Georgia,Tattnall County,44053.0,25392.0
Georgia,Terrell County,35335.0,8654.0
Georgia,Toombs County,41244.0,26947.0
Georgia,Troup County,46796.0,70095.0
Georgia,Twiggs County,43477.0,8195.0
Georgia,Walker County,46601.0,69398.0
Georgia,Warren County,38250.0,5259.0
Georgia,Wayne County,45773.0,29959.0
Georgia,White County,55788.0,29962.0
Georgia,Wilkes County,36486.0,9797.0
Georgia,Worth County,50913.0,20346.0
Hawaii,Hawaii County,65401.0,201350.0
Hawaii,Honolulu County,87722.0,979682.0
Hawaii,Kalawao County,76465.0,436.0
Hawaii,Kauai County,82818.0,71949.0
Hawaii,Maui County,84363.0,166657.0
Idaho,Ada County,69952.0,469473.0
Idaho,Adams County,50309.0,4200.0
Idaho,Bannock County,51977.0,86742.0
Idaho,Bear Lake County,52829.0,6054.0
Idaho,Benewah County,47983.0,9231.0
Idaho,Bingham County,58260.0,46246.0
Idaho,Blaine County,64627.0,22729.0
Idaho,Boise County,51760.0,7625.0
Idaho,Bonner County,51594.0,44688.0
Idaho,Bonneville County,61435.0,116970.0
Idaho,Boundary County,45319.0,12156.0
Idaho,Butte County,37404.0,2603.0
Idaho,Camas County,36908.0,1069.0
Idaho,Canyon County,56916.0,223890.0
Idaho,Caribou County,58099.0,7028.0
Idaho,Cassia County,52256.0,23847.0
Idaho,Clark County,36429.0,885.0
Idaho,Custer County,44757.0,4193.0
Idaho,Franklin County,59934.0,13736.0
Idaho,Fremont County,56825.0,13111.0
Idaho,Gooding County,50057.0,15280.0
Idaho,Idaho County,44951.0,16511.0
Idaho,Jerome County,55521.0,24074.0
Idaho,Latah County,51312.0,40052.0
Idaho,Lemhi County,38819.0,7929.0
Idaho,Lincoln County,52363.0,5342.0
Idaho,Madison County,44419.0,39725.0
Idaho,Nez Perce County,57099.0,40468.0
Idaho,Owyhee County,48601.0,11724.0
Idaho,Payette County,52788.0,23705.0
Idaho,Shoshone County,40483.0,12700.0
Idaho,Teton County,73274.0,11776.0
Idaho,Valley County,63115.0,11085.0
Idaho,Washington County,42126.0,10128.0
